,Medicine Name,AHMEDNAGAR,AKOLA,AMARAVATI,AMRAVATI,ANDRA PRADESH,AURANGABAD,BADLAPUR,BAGALKOT,BALAGHAT,BANGALORE,BEED,BELGAUM,BELLARY,BHANDARA,BULDHANA,BURHANPUR,CHANDRAPUR,DAVANGERE,DEVGAD ,DHARWAD,DHULE,DOMBIVLI,GADAG,GADCHIROLI,GONDIA,GONDIYA,GULBARGA,HINGOLI,HYDERABAD,ICHALKARANJI,JAIPUR,JALANA,JALGAON,JALNA,KALYAN,KERALA,KHORDHA,KOLHAPUR,KOPPAL,LATUR,MALKAJGIRI,MUMBAI,NAGPUR,NAGPUR ,NANDED,NANDURBAR,NASHIK,NAVI MUMBAI,OSMANABAD,PARBHANI,PUNE,RAIGAD,RATNAGIRI,SANGLI,SATARA,SINDHUDURG,SOLAPUR,THANE,UTTAR KANNADA,VIJAYAPURA,WARDHA,WASHIM,YAVATMAL,avg_mean
0,TELMISARTAN 40 MG,517.5,509.4736842105263,60,520.3846153846154,0,1096.933333333333,382.875,34.0,210,40,447.3684210526316,52.1875,0,730.7142857142857,612.2222222222222,0,246.3157894736842,0,320,70.0,409.1111111111111,250,66.66666666666667,495.0,410.0,50,70,638.0,40.0,270.0,40,783.6842105263158,476.6666666666667,15.0,80,312.5,110.0,876.7241379310345,0.0,956.6666666666666,80,902.5,914.2222222222222,190,207.1428571428571,768.0,519.375,325.0,630.9090909090909,649.0909090909091,659.344262295082,919.4242424242424,1353.1,523.1379310344828,536.4705882352941,626.25,564.7058823529412,290.7692307692308,20,40,1098.333333333333,661.4285714285714,1350.909090909091,413.176309890589
1,TELMISARTAN 40 MG + AMLODIPINE 5 MG,568.55,395.5263157894737,130,362.3076923076923,0,722.3333333333334,198.75,37.33333333333334,140,20,467.3684210526316,40.15625,0,675.0,466.1111111111111,0,445.7894736842105,0,390,38.75,245.5555555555555,190,53.33333333333334,725.0,421.25,0,0,624.0,36.66666666666666,213.3333333333333,30,720.0,267.5,15.0,50,42.5,53.33333333333334,757.551724137931,30.0,784.1666666666666,50,451.6666666666667,744.4444444444445,80,143.5714285714286,496.0,461.875,285.0,857.2727272727273,592.8181818181819,658.7868852459017,591.3030303030303,877.0,412.1379310344827,507.6470588235294,295.0,485.0,153.0769230769231,30,0,865.0,407.1428571428572,961.7272727272727,329.5815389010485
2,GLIMEPIRIDE 1 MG + METFORMINE HCL 500 MG SR,584.25,427.3684210526316,40,397.1153846153846,0,656.0,145.0,62.0,220,0,454.2105263157895,76.40625,0,776.4285714285714,455.5555555555555,0,283.6842105263158,0,70,71.25,693.3333333333334,80,23.33333333333333,656.6666666666666,252.5,0,30,581.0,16.66666666666667,73.33333333333333,20,275.2631578947368,378.3333333333333,0.0,120,20.0,0.0,624.9310344827586,0.0,205.0,20,633.3333333333334,537.0666666666667,80,158.5714285714286,756.0,548.5,82.5,610.0,399.0909090909091,483.0901639344262,328.6363636363636,1320.0,344.7931034482759,628.8235294117648,225.0,460.0,117.6923076923077,0,0,1146.666666666667,697.1428571428571,1158.181818181818,309.5987131161148
3,AMLODIPINE 5 MG,184.0,312.8947368421053,20,294.9038461538461,0,367.0,96.25,41.33333333333334,0,0,312.3684210526316,66.40625,0,512.5,241.6666666666667,0,260.0,0,330,76.875,159.4444444444445,220,65.0,729.1666666666666,250.625,20,0,266.0,100.0,20.0,25,219.2631578947368,156.6666666666667,0.0,95,123.75,30.0,1094.827586206897,35.0,339.5833333333333,50,581.6666666666666,515.6666666666666,60,78.57142857142857,289.0,264.0625,180.0,602.7272727272727,406.5909090909091,470.7131147540983,650.7575757575758,1179.0,432.7758620689655,461.1764705882353,366.875,237.0588235294118,206.9230769230769,10,10,290.8333333333333,652.1428571428571,642.0454545454545,249.2716209782108
4,AMLODIPINE 5 MG + ATENOLOL 50 MG,290.5,291.578947368421,140,395.1923076923077,0,300.2333333333333,50.0,46.33333333333334,100,0,323.6842105263158,75.5625,50,726.4285714285714,361.9444444444445,0,343.8421052631579,0,110,42.5,344.4444444444445,140,36.66666666666666,958.3333333333334,448.75,20,0,319.0,28.66666666666667,60.0,0,360.5263157894737,307.5,30.0,10,17.5,10.0,677.9310344827586,25.0,302.5,50,226.6666666666667,476.4444444444445,50,127.1428571428571,674.0,437.0833333333333,120.0,670.9090909090909,351.3636363636364,335.327868852459,518.2424242424242,950.0,568.2758620689655,318.5294117647059,341.25,417.1470588235294,116.9230769230769,50,50,438.3333333333333,572.3571428571429,964.6363636363636,263.0039807323056
5,TELMISARTAN 40 MG + HYDROCHLOROTHIAZIDE 12.5 MG,363.5,127.1578947368421,20,259.0384615384615,0,400.0,130.0,48.66666666666666,60,0,372.8947368421053,78.28125,50,458.5714285714286,229.4444444444445,0,193.9473684210526,50,440,86.25,50.0,60,50.0,421.6666666666667,160.0,0,40,251.0,56.66666666666666,140.0,0,268.9473684210527,306.6666666666667,5.0,30,60.0,10.0,821.2241379310345,25.0,468.3333333333333,20,330.0,393.7777777777778,70,109.2857142857143,264.0,278.9583333333333,85.0,989.0909090909091,248.1818181818182,530.8524590163935,702.1212121212121,665.0,427.9655172413793,553.5294117647059,266.25,503.7058823529412,83.84615384615384,50,0,673.3333333333334,272.1428571428572,584.0909090909091,233.2284028489819
6,ATORVASTATIN 10 MG + ASPIRIN 75 MG,155.0,450.5263157894737,50,316.9230769230769,0,248.6666666666667,21.25,18.0,60,20,252.1052631578947,23.125,0,361.4285714285714,511.2777777777778,20,80.0,0,180,45.0,254.7777777777778,100,16.66666666666667,128.3333333333333,133.75,0,10,192.0,6.666666666666667,136.6666666666667,0,222.6315789473684,510.0,10.0,20,52.5,33.33333333333334,523.7931034482758,10.0,542.5,30,131.6666666666667,253.3777777777778,60,105.0,444.0,366.3541666666667,163.75,862.7272727272727,265.4545454545454,460.3524590163934,310.9090909090909,820.0,685.7068965517242,567.9411764705883,360.0,599.8529411764706,131.5384615384615,20,20,120.0,290.7142857142857,663.7272727272727,213.4919811425518
7,METOPROLOL 25 ER,489.25,328.9473684210527,60,384.4230769230769,0,429.1,203.75,28.66666666666667,0,0,379.8947368421053,26.09375,0,405.7142857142857,376.9444444444445,0,143.6842105263158,0,110,23.75,583.3333333333334,210,30.0,208.3333333333333,146.25,0,20,326.0,23.33333333333333,63.33333333333334,0,346.8421052631579,523.3333333333334,15.0,30,75.0,23.33333333333333,490.3448275862069,0.0,376.6666666666667,40,276.6666666666667,363.5555555555555,100,118.5714285714286,407.0,391.6666666666667,130.25,347.2727272727273,453.1818181818182,341.0,408.7878787878788,757.0,355.0,387.9411764705882,285.0,312.3235294117647,129.2307692307692,10,20,691.6666666666666,497.1428571428572,768.1818181818181,229.7263761565267
8,GLIMEPIRIDE 2 MG + METFORMIN HYDROCHLORIDE 500 MG SR TAB,440.0,238.0526315789474,70,287.5,50,463.1666666666667,58.75,40.0,110,20,356.3157894736842,45.0,0,521.4285714285714,232.2222222222222,0,210.0,0,80,67.5,330.0,0,0.0,310.0,133.75,0,0,255.0,33.33333333333334,3.333333333333333,30,215.7894736842105,178.3333333333333,0.0,100,35.0,10.0,433.6551724137931,0.0,179.1666666666667,20,576.6666666666666,312.2222222222222,20,93.57142857142857,212.0,384.7916666666667,130.0,452.7272727272727,265.2727272727273,424.3852459016393,274.2424242424242,1055.0,292.0689655172414,432.6470588235294,188.75,494.7058823529412,86.15384615384616,0,0,815.0,325.0,584.5454545454545,205.9848897745845
9,METFORMIN HYDROCHLORIDE 500 MG,239.5,240.0,20,196.1538461538462,0,401.9333333333333,45.0,36.66666666666666,0,0,239.4736842105263,37.96875,0,71.42857142857143,234.4444444444445,0,242.1052631578947,0,140,28.75,224.4444444444445,50,23.33333333333333,560.0,157.5,0,0,274.6,46.66666666666666,13.33333333333333,0,351.0526315789473,151.6666666666667,40.0,80,270.0,0.0,499.8793103448276,35.0,448.3333333333333,30,550.0,634.1111111111111,70,87.85714285714286,390.0,306.0416666666667,140.0,233.6363636363636,350.9090909090909,326.1475409836066,310.6060606060606,1046.2,381.0344827586207,262.6470588235294,460.0,265.5882352941176,132.3076923076923,0,0,1015.0,465.7857142857143,733.6363636363636,215.7260762376653
